Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
41311 Probation and parole officers,55,20,40,15,0,15,155,45,110,180,40,150,935,145,795,"1,750",390,"1,355",290,90,200,365,85,285,655,185,470,945,305,640,25,10,10,45,15,30,10,0,0
4132 Educational and employment counsellors,600,140,470,200,30,170,"1,180",230,950,985,150,835,"10,265","1,860","8,405","14,365","3,170","11,190","1,705",430,"1,275","1,080",250,825,"3,925",820,"3,105","6,725","1,480","5,245",55,15,40,45,15,30,60,10,45
41320 Educational counsellors,425,100,325,125,25,105,840,190,650,695,100,595,"7,135","1,295","5,840","9,800","2,240","7,555","1,200",290,915,760,165,595,"2,770",510,"2,260","4,965","1,120","3,845",35,0,35,20,10,15,40,15,25
41321 Career development practitioners and career counsellors (except education),180,40,140,75,10,60,335,45,300,295,55,245,"3,130",560,"2,560","4,570",935,"3,630",505,140,365,315,80,230,"1,160",310,845,"1,760",360,"1,405",20,15,10,20,10,10,25,0,20
414 Professional occupations in government services,"2,570","1,000","1,570","1,125",410,715,"6,340","2,380","3,965","4,020","1,585","2,435","50,870","20,735","30,135","107,735","44,665","63,070","6,070","2,360","3,705","5,975","2,175","3,795","25,180","10,680","14,500","31,755","12,795","18,965",915,285,625,950,375,575,425,155,270
"4140 Policy and program researchers, consultants and officers","2,570","1,000","1,570","1,125",410,715,"6,340","2,380","3,965","4,020","1,585","2,435","50,870","20,735","30,135","107,735","44,665","63,070","6,070","2,360","3,705","5,975","2,175","3,795","25,180","10,680","14,500","31,755","12,795","18,965",915,285,625,950,375,575,425,155,270
"41400 Natural and applied science policy researchers, consultants and program officers",405,210,195,100,40,55,"1,080",495,585,560,300,260,"8,405","4,250","4,155","14,160","6,970","7,185",790,410,380,830,425,410,"5,310","2,870","2,445","5,625","2,840","2,790",215,95,125,180,85,95,65,40,25
41401 Economists and economic policy researchers and analysts,140,80,60,65,45,25,335,160,180,230,105,125,"4,375","2,345","2,025","13,960","7,825","6,135",380,235,145,315,170,145,"2,075","1,200",875,"1,995","1,060",935,60,20,35,25,15,15,10,0,10
41402 Business development officers and market researchers and analysts,450,265,185,210,105,105,"1,035",495,545,565,340,230,"7,780","3,730","4,050","22,580","12,095","10,480","1,170",685,485,830,430,400,"5,545","3,380","2,160","5,935","3,395","2,540",75,20,60,75,45,25,45,20,30
"41403 Social policy researchers, consultants and program officers",440,135,310,345,85,260,"1,225",375,845,900,230,670,"10,405","3,880","6,525","19,670","6,655","13,015","1,390",430,960,"1,090",345,740,"3,560","1,120","2,440","5,510","1,760","3,755",210,40,170,210,85,120,125,40,80
"41404 Health policy researchers, consultants and program officers",295,45,250,140,35,105,765,165,600,445,100,345,"4,505","1,210","3,300","14,100","3,355","10,750",795,195,595,785,175,610,"3,170",630,"2,540","4,015",980,"3,035",75,20,50,120,35,90,60,0,50
"41405 Education policy researchers, consultants and program officers",345,100,245,120,30,90,915,265,650,625,210,420,"7,190","1,875","5,310","10,255","2,645","7,605",740,140,610,925,250,680,"2,850",580,"2,270","4,250","1,195","3,055",115,35,80,160,35,125,40,15,25
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",125,35,90,35,25,15,410,135,275,140,45,85,"2,485","1,050","1,440","3,860","1,205","2,655",370,110,265,470,125,350,"1,130",335,795,"1,480",390,"1,090",35,15,20,35,20,15,20,20,10
41407 Program officers unique to government,295,90,205,90,40,50,420,195,220,440,195,245,"4,255","1,980","2,275","6,055","2,800","3,255",270,90,175,615,210,405,930,340,585,"1,625",645,985,105,40,70,110,40,70,50,20,30
41409 Other professional occupations in social science,80,40,35,20,10,10,155,85,65,115,60,55,"1,475",425,"1,050","3,100","1,115","1,980",165,70,90,115,55,60,605,225,385,"1,320",540,785,20,0,20,30,10,20,10,10,10
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","6,340","1,785","4,555","2,890",685,"2,205","16,025","4,640","11,390","12,210","3,390","8,820","192,780","36,555","156,230","212,730","56,290","156,440","24,525","7,400","17,120","18,570","5,545","13,025","62,800","19,340","43,470","80,980","23,360","57,625","1,160",410,750,"1,090",405,685,905,300,610
421 Occupations in front-line public protection services,"1,330","1,070",260,245,205,35,"3,315","2,830",480,"2,320","1,970",350,"23,890","18,845","5,045","40,880","33,665","7,215","4,040","3,465",575,"3,980","3,190",795,"15,005","12,565","2,435","15,915","13,015","2,900",220,185,35,300,225,80,180,140,35
4210 Occupations in front-line public protection services,"1,330","1,070",260,245,205,35,"3,315","2,830",480,"2,320","1,970",350,"23,890","18,845","5,045","40,880","33,665","7,215","4,040","3,465",575,"3,980","3,190",795,"15,005","12,565","2,435","15,915","13,015","2,900",220,185,35,300,225,80,180,140,35
42100 Police officers (except commissioned),935,695,240,230,190,35,"2,065","1,635",425,"1,515","1,205",310,"16,805","12,105","4,700","27,175","20,905","6,270","2,805","2,305",495,"2,675","1,950",725,"9,790","7,685","2,110","10,680","8,075","2,605",155,120,35,225,155,70,145,120,30
42101 Firefighters,385,360,20,10,10,0,860,825,40,695,675,15,"6,795","6,485",310,"13,360","12,485",870,"1,205","1,125",80,"1,275","1,220",55,"5,050","4,755",295,"5,000","4,715",280,65,65,0,70,65,0,35,25,0
42102 Specialized members of the Canadian Armed Forces,15,15,0,0,0,0,390,365,20,110,90,20,300,260,35,345,270,65,30,30,0,30,25,10,165,130,30,240,230,10,0,0,0,0,0,0,0,0,0
"422 Paraprofessional occupations in legal, social, community and education services","5,010",710,"4,295","2,650",480,"2,170","12,715","1,810","10,905","9,890","1,420","8,470","168,895","17,710","151,185","171,855","22,620","149,230","20,485","3,940","16,550","14,590","2,360","12,230","47,800","6,770","41,030","65,065","10,340","54,725",935,220,715,790,185,610,730,150,580
"4220 Paraprofessional occupations in legal, social, community and education services","5,010",710,"4,295","2,650",480,"2,170","12,715","1,810","10,905","9,890","1,420","8,470","168,895","17,710","151,185","171,855","22,620","149,230","20,485","3,940","16,550","14,590","2,360","12,230","47,800","6,770","41,030","65,065","10,340","54,725",935,220,715,790,185,610,730,150,580
42200 Paralegals and related occupations,165,20,140,110,15,95,855,90,770,300,35,265,"5,825",940,"4,885","17,245","3,255","13,985",530,60,470,400,70,330,"2,950",265,"2,690","5,220",480,"4,740",35,15,25,35,0,30,20,10,15
42201 Social and community service workers,"2,565",600,"1,965","1,285",400,885,"6,090","1,425","4,665","3,780","1,050","2,725","35,280","8,515","26,765","70,315","14,905","55,410","10,185","3,040","7,155","7,465","1,820","5,645","23,410","5,470","17,940","32,445","8,080","24,360",510,155,355,485,150,335,465,125,345
42202 Early childhood educators and assistants,"2,100",65,"2,035","1,130",40,"1,090","5,230",210,"5,020","5,135",225,"4,910","98,400","3,935","94,465","76,565","2,450","74,115","9,045",585,"8,460","6,070",265,"5,805","19,720",600,"19,120","24,070","1,090","22,985",365,40,325,265,30,235,240,25,215
42203 Instructors of persons with disabilities,140,10,130,45,0,35,405,40,365,500,55,445,"27,010","3,330","23,685","4,155",505,"3,645",230,55,175,265,65,205,695,85,610,"1,960",270,"1,690",10,10,0,0,0,0,0,0,0
42204 Religion workers,40,15,20,85,15,65,135,50,85,165,50,115,"2,375",995,"1,385","3,575","1,500","2,070",490,205,285,390,135,260,"1,025",350,675,"1,370",425,945,20,10,10,0,0,0,0,0,0
43 Assisting occupations in education and in legal and public protection,"2,910","1,230","1,680","1,245",310,940,"10,535","5,150","5,385","9,400","4,220","5,185","31,715","16,005","15,715","89,865","34,905","54,960","16,530","5,570","10,960","10,880","3,135","7,745","31,525","10,450","21,075","41,015","13,495","27,525",535,195,330,750,350,405,405,140,265
431 Assisting occupations in educational,"1,710",245,"1,465",975,120,850,"4,800",655,"4,150","4,975",475,"4,500","14,645","3,850","10,795","57,960","11,965","45,995","11,940","2,120","9,815","7,500",945,"6,550","21,955","3,065","18,885","30,360","5,780","24,580",315,60,255,385,75,310,270,40,230
4310 Assisting occupations in education,"1,710",245,"1,465",975,120,850,"4,800",655,"4,150","4,975",475,"4,500","14,645","3,850","10,795","57,960","11,965","45,995","11,940","2,120","9,815","7,500",945,"6,550","21,955","3,065","18,885","30,360","5,780","24,580",315,60,255,385,75,310,270,40,230
43100 Elementary and secondary school teacher assistants,"1,280",70,"1,205",800,60,745,"3,945",295,"3,645","4,485",270,"4,215","7,945",875,"7,075","37,890","3,875","34,015","10,915","1,645","9,270","6,690",585,"6,105","17,310","1,040","16,270","21,295","1,940","19,355",275,55,225,355,65,290,225,35,190
43109 Other instructors,430,170,260,170,60,110,865,360,505,490,205,280,"6,700","2,975","3,715","20,070","8,090","11,980","1,020",480,545,810,365,450,"4,645","2,030","2,615","9,065","3,840","5,220",40,0,30,30,0,25,45,10,40
432 Assisting occupations in legal and public protection,"1,200",985,215,270,185,85,"5,730","4,495","1,235","4,425","3,745",685,"17,075","12,155","4,920","31,905","22,940","8,965","4,590","3,450","1,145","3,380","2,190","1,190","9,575","7,380","2,195","10,660","7,715","2,945",220,140,80,370,280,90,135,100,35
4320 Assisting occupations in legal and public protection,"1,200",985,215,270,185,85,"5,730","4,495","1,235","4,425","3,745",685,"17,075","12,155","4,920","31,905","22,940","8,965","4,590","3,450","1,145","3,380","2,190","1,190","9,575","7,380","2,195","10,660","7,715","2,945",220,140,80,370,280,90,135,100,35
43200 Sheriffs and bailiffs,85,75,15,35,25,10,340,265,80,190,165,25,835,575,260,"2,245","1,580",665,185,125,60,295,165,130,645,555,85,730,595,130,15,0,10,0,0,0,20,20,0
43201 Correctional service officers,395,295,100,75,60,15,715,435,280,"1,065",835,225,"4,880","3,050","1,830","7,495","5,140","2,360","2,135","1,510",620,"2,160","1,300",860,"2,785","1,995",790,"3,635","2,500","1,135",90,70,20,165,105,65,90,60,30
43202 By-law enforcement and other regulatory officers,100,80,30,40,25,15,250,190,60,180,110,70,"2,240","1,485",755,"4,730","3,010","1,725",395,245,150,280,160,120,900,525,375,"1,735","1,135",600,50,35,15,40,35,0,15,15,0
"43203 Border services, customs, and immigration officers",85,55,35,40,20,20,320,120,195,375,235,145,"2,285","1,190","1,100","4,835","2,680","2,155",400,280,115,200,140,65,615,260,350,"1,550",895,655,55,20,30,20,10,0,0,0,0
43204 Operations members of the Canadian Armed Forces,530,490,40,80,55,25,"4,110","3,485",625,"2,610","2,395",215,"6,820","5,855",970,"12,595","10,535","2,065","1,475","1,285",190,445,425,20,"4,640","4,045",590,"3,015","2,590",425,10,10,0,145,120,20,0,10,0
44 Care providers and legal and public protection support occupations,"9,525",920,"8,600",680,85,595,"4,270",760,"3,500","5,245","1,195","4,045","24,610","4,615","19,995","44,815","6,045","38,775","7,370","1,450","5,925","4,720",540,"4,180","18,790","2,240","16,555","18,800","2,060","16,735",290,30,260,200,25,170,140,15,125
441 Home care provider occupations,"9,295",730,"8,565",640,45,595,"3,740",305,"3,435","4,260",305,"3,960","21,850","2,115","19,735","41,490","3,205","38,290","6,865","1,005","5,865","4,535",390,"4,150","17,685","1,245","16,440","18,335","1,650","16,680",290,30,260,175,10,170,140,15,125
4410 Home care provider occupations,"9,295",730,"8,565",640,45,595,"3,740",305,"3,435","4,260",305,"3,960","21,850","2,115","19,735","41,490","3,205","38,290","6,865","1,005","5,865","4,535",390,"4,150","17,685","1,245","16,440","18,335","1,650","16,680",290,30,260,175,10,170,140,15,125
44100 Home child care providers,870,30,835,285,15,265,"1,630",85,"1,545","1,295",70,"1,225","7,830",585,"7,245","29,250","1,810","27,435","2,505",240,"2,265","3,060",185,"2,865","12,775",625,"12,150","10,095",675,"9,420",55,0,55,105,0,100,70,10,65
"44101 Home support workers, caregivers and related occupations","8,425",700,"7,725",360,35,330,"2,110",220,"1,885","2,960",235,"2,730","14,015","1,530","12,485","12,245","1,390","10,850","4,360",760,"3,600","1,480",200,"1,280","4,910",615,"4,295","8,240",980,"7,260",235,30,200,75,0,75,65,10,55
442 Primary combat members of the Canadian Armed Forces,225,190,40,40,40,0,525,460,65,985,890,90,"2,760","2,500",260,"3,330","2,840",485,505,450,60,185,150,25,"1,105",995,110,465,410,55,0,0,0,20,20,0,0,0,0
4420 Primary combat members of the Canadian Armed Forces,225,190,40,40,40,0,525,460,65,985,890,90,"2,760","2,500",260,"3,330","2,840",485,505,450,60,185,150,25,"1,105",995,110,465,410,55,0,0,0,20,20,0,0,0,0
44200 Primary combat members of the Canadian Armed Forces,225,190,40,40,40,0,525,460,65,985,890,90,"2,760","2,500",260,"3,330","2,840",485,505,450,60,185,150,25,"1,105",995,110,465,410,55,0,0,0,20,20,0,0,0,0
"45 Student monitors, crossing guards and related occupations",40,0,30,25,20,0,"1,195",205,990,235,90,145,"12,965","2,690","10,275","14,990","2,350","12,640",850,95,755,105,25,80,"2,420",135,"2,285","2,175",160,"2,010",10,10,0,0,0,0,10,0,0
"451 Student monitors, crossing guards and related occupations",40,0,30,25,20,0,"1,195",205,990,235,90,145,"12,965","2,690","10,275","14,990","2,350","12,640",850,95,755,105,25,80,"2,420",135,"2,285","2,175",160,"2,010",10,10,0,0,0,0,10,0,0
"4510 Student monitors, crossing guards and related occupations",40,0,30,25,20,0,"1,195",205,990,235,90,145,"12,965","2,690","10,275","14,990","2,350","12,640",850,95,755,105,25,80,"2,420",135,"2,285","2,175",160,"2,010",10,10,0,0,0,0,10,0,0
"45100 Student monitors, crossing guards and related occupations",40,0,30,25,20,0,"1,195",205,990,235,90,145,"12,965","2,690","10,275","14,990","2,350","12,640",850,95,755,105,25,80,"2,420",135,"2,285","2,175",160,"2,010",10,10,0,0,0,0,10,0,0
"5 Occupations in art, culture, recreation and sport","5,945","2,620","3,320","2,270","1,040","1,225","15,920","6,985","8,935","9,150","4,145","5,010","173,015","85,080","87,935","272,540","123,405","149,130","17,845","7,875","9,970","13,075","4,935","8,140","59,950","24,240","35,710","125,490","58,695","66,795",925,415,510,605,250,360,530,235,295
"50 Specialized middle management occupations in art, culture, recreation and sport",375,125,250,115,35,80,825,350,475,535,235,295,"5,090","2,515","2,580","10,990","5,065","5,925",950,440,515,825,345,485,"3,195","1,555","1,640","4,880","2,340","2,545",85,35,50,40,20,20,35,25,10
"500 Specialized middle management occupations in art, culture, recreation and sport",375,125,250,115,35,80,825,350,475,535,235,295,"5,090","2,515","2,580","10,990","5,065","5,925",950,440,515,825,345,485,"3,195","1,555","1,640","4,880","2,340","2,545",85,35,50,40,20,20,35,25,10
"5001 Managers in art, culture, recreation and sport",375,125,250,115,35,80,825,350,475,535,235,295,"5,090","2,515","2,580","10,990","5,065","5,925",950,440,515,825,345,485,"3,195","1,555","1,640","4,880","2,340","2,545",85,35,50,40,20,20,35,25,10
"50010 Library, archive, museum and art gallery managers",80,10,65,35,0,35,145,35,110,165,40,125,"1,040",315,730,"1,775",455,"1,320",160,70,95,180,30,155,630,135,495,805,155,645,30,10,20,20,10,10,0,0,0
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",50,30,20,20,15,10,205,100,105,75,40,35,"1,675",790,880,"3,910","1,865","2,040",285,150,135,140,65,70,695,380,315,"1,735",975,760,25,10,15,10,10,0,15,10,10
"50012 Recreation, sports and fitness program and service directors",250,85,170,60,25,40,475,220,255,290,155,135,"2,380","1,410",970,"5,300","2,740","2,560",505,225,280,505,250,265,"1,870","1,035",835,"2,345","1,210","1,140",35,15,20,15,10,0,15,10,0
51 Professional occupations in art and culture,"1,440",625,815,580,280,300,"4,070","1,830","2,240","2,350","1,110","1,240","46,620","21,750","24,870","71,465","32,875","38,595","4,305","1,975","2,335","3,015","1,210","1,800","12,700","5,075","7,625","27,475","12,465","15,015",230,100,130,190,75,120,225,55,165
511 Professional occupations in art and culture,"1,440",625,815,580,280,300,"4,070","1,830","2,240","2,350","1,110","1,240","46,620","21,750","24,870","71,465","32,875","38,595","4,305","1,975","2,335","3,015","1,210","1,800","12,700","5,075","7,625","27,475","12,465","15,015",230,100,130,190,75,120,225,55,165
"5110 Librarians, archivists, conservators and curators",170,35,140,60,10,50,400,60,340,240,85,155,"2,870",870,"2,005","5,315","1,175","4,140",375,110,270,515,75,440,"1,280",245,"1,035","1,890",430,"1,465",45,15,30,40,0,35,15,0,10
51100 Librarians,150,20,130,45,10,35,270,20,245,155,50,105,"1,735",460,"1,275","3,965",760,"3,205",220,60,165,435,45,390,970,150,820,"1,350",280,"1,065",35,0,30,20,0,20,10,0,10
51101 Conservators and curators,10,0,10,10,0,10,75,25,45,40,20,20,385,155,230,955,265,695,75,25,50,45,20,25,205,65,140,400,110,295,10,10,0,0,0,0,0,0,0
51102 Archivists,10,0,10,10,0,10,65,20,45,50,15,30,750,250,500,395,150,245,80,35,50,35,15,25,100,30,75,140,45,95,0,0,0,15,0,15,0,0,0
"5111 Writing, translating and related communications professionals",545,235,310,295,135,160,"1,920",735,"1,180","1,235",535,705,"24,540","8,955","15,585","34,745","13,530","21,215","1,900",830,"1,070","1,275",510,765,"5,510","1,955","3,555","11,465","4,265","7,200",110,50,60,100,60,45,185,40,145
51110 Editors,110,40,70,50,30,20,370,125,240,155,70,85,"4,200","1,345","2,855","7,205","2,495","4,715",385,185,200,215,100,115,990,260,730,"2,180",685,"1,495",25,20,0,0,0,0,10,0,0
51111 Authors and writers (except technical),240,110,125,110,40,65,785,290,495,360,155,205,"5,525","2,370","3,155","12,800","5,295","7,505",560,270,290,480,170,305,"2,060",830,"1,235","4,785","1,795","2,985",35,0,25,10,0,10,10,0,0
